ID,Date,Species,Sex,Age,Capture_Type,Plot,Night,Azimut,Station,Trap,Weight_g,Body_Length_mm,Tail_Length_mm,Hind_Foot_Length_mm
2017-001,6/13/2017,S. cinereus,U,J,D,8,1,60,2,Pitfall,3.4,83.8,40.3,10.4
2017-002,6/13/2017,S. cinereus,U,J,D,8,1,60,2,Pitfall,3.2,87.5,36.7,9.8
2017-003,6/13/2017,M. rutilus,F,J,L,8,1,60,3,Sherman,22,114,27,17
2017-004,6/13/2017,S. cinereus,U,J,D,8,1,60,6,Victor,3.4,91.8,38.4,10.6
2017-005,6/13/2017,S. cinereus,U,J,D,8,1,60,7,Sherman,3.1,86.3,39.7,9.4
2017-006,6/13/2017,S. cinereus,M,A,D,8,1,180,10,Pitfall,5.9,92.1,40.5,10.6
2017-007,6/13/2017,M. rutilus,M,A,D,8,1,300,9,Victor,20,105.6,23,14
2017-009,6/14/2017,M. rutilus,F,A,D,8,2,180,8,Victor,28.2,125.5,26.2,16.5
2017-010,6/14/2017,S. cinereus,U,J,D,8,2,300,7,Pitfall,3.1,87,39.5,9.7
2017-011,6/14/2017,S. cinereus,M,A,D,8,2,300,10,Pitfall,5.2,91.7,39.4,10
2017-012,6/15/2017,S. cinereus,U,J,D,8,3,60,3,Pitfall,2.6,91,39.4,9.8
2017-013,6/15/2017,S. cinereus,U,J,D,8,3,60,4,Victor,3.4,90.5,40.4,11
2017-014,6/15/2017,S. cinereus,U,J,D,8,3,180,5,Pitfall,3.2,84.8,37.8,10.9
2017-015,6/15/2017,S. cinereus,U,J,D,8,3,180,9,Pitfall,3,92.4,42.5,10.3
2017-017,6/15/2017,S. cinereus,U,J,D,8,3,300,9,Sherman,2.7,87.7,36.1,10.6
2017-018,6/15/2017,S. cinereus,U,J,D,8,3,300,9,Victor,3.5,91.2,41.5,10
2017-020,6/13/2017,S. cinereus,U,J,D,9,1,60,1,Pitfall,3.5,88.7,42.6,10.2
2017-021,6/13/2017,S. cinereus,U,J,D,9,1,60,3,Pitfall,3.9,86.1,38,11.5
2017-022,6/13/2017,M. rutilus,M,A,D,9,1,60,5,Victor,17.1,100.5,23.8,14.2
2017-023,6/13/2017,M. rutilus,M,J,L,9,1,60,7,Sherman,16,99,15,24
2017-024,6/13/2017,M. rutilus,F,A,D,9,1,60,10,Victor,12.9,95,23.6,15.4
2017-025,6/13/2017,M. rutilus,F,A,L,9,1,60,10,Sherman,27,119,31,16
2017-026,6/13/2017,M. rutilus,F,A,L,9,1,180,1,Sherman,36,111,30,17
2017-027,6/13/2017,S. cinereus,F,A,D,9,1,180,3,Pitfall,5.5,93.7,38.9,10.8
2017-028,6/13/2017,S. cinereus,U,J,D,9,1,180,4,Pitfall,3.4,88,41.7,10.8
2017-029,6/13/2017,S. cinereus,U,J,D,9,1,180,9,Pitfall,3.3,88.9,42,11.1
2017-030,6/13/2017,S. cinereus,U,J,D,9,1,180,9,Pitfall,3.4,83,36,11.3
2017-031,6/13/2017,S. cinereus,U,J,D,9,1,180,9,Pitfall,3.6,83.5,38.2,10.4
2017-032,6/13/2017,M. rutilus,M,A,D,9,1,180,9,Sherman,14.6,94.3,27.1,15.5
2017-033,6/13/2017,S. cinereus,U,J,D,9,1,180,9,Victor,3.4,88.1,38.9,11.1
2017-034,6/13/2017,S. cinereus,F,A,D,9,1,180,10,Victor,5.8,97.4,37.2,10.5
2017-038,6/13/2017,S. cinereus,U,J,D,9,1,300,4,Pitfall,3.4,88.1,41.4,10.4
2017-039,6/13/2017,M. rutilus,M,A,L,9,1,300,5,Sherman,29,121,31,17
2017-040,6/13/2017,S. cinereus,U,J,D,9,1,300,7,Victor,4,94.3,37.3,10.9
2017-041,6/13/2017,M. rutilus,F,J,L,9,1,300,7,Sherman,20,102,28,17
2017-042,6/13/2017,S. cinereus,U,J,D,9,1,300,8,Pitfall,3.6,82.4,38,10.4
2017-043,6/13/2017,S. cinereus,U,J,D,9,1,300,9,Victor,4,91.7,34.8,10.1
2017-870,6/13/2017,M. rutilus,M,J,L,9,1,300,10,Sherman,11,99,26,16
2017-044,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,4,93.4,41.3,10.6
2017-045,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,3.9,85.6,39.8,10.8
2017-046,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,4.1,84.6,35.7,10.4
2017-047,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,3.2,82.2,37.6,10.8
2017-048,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,4.1,86.3,40.5,10.6
2017-049,6/14/2017,S. cinereus,U,J,D,9,2,60,1,Pitfall,4.1,86.5,37.7,10.5
2017-050,6/14/2017,S. cinereus,F,A,D,9,2,60,2,Pitfall,5.6,89.2,40.6,10
2017-051,6/14/2017,S. cinereus,U,J,D,9,2,60,3,Pitfall,3.7,92.5,42.6,10
2017-052,6/14/2017,M. rutilus,F,J,L,9,2,60,5,Sherman,13,79,22,16
2017-053,6/14/2017,S. cinereus,U,J,D,9,2,60,5,Pitfall,3.4,81.8,38.8,10.4
2017-054,6/14/2017,S. cinereus,U,U,D,9,2,60,5,Pitfall,5.9,91.2,38.7,9.9
2017-055,6/14/2017,M. rutilus,M,SA,D,9,2,60,7,Victor,15,98.2,23.8,16.6
2017-056,6/14/2017,M. rutilus,M,A,L,9,2,60,7,Sherman,15,103,23,15
2017-057,6/14/2017,S. cinereus,M,A,D,9,2,60,7,Pitfall,6.3,94.7,40.2,10.7
2017-058,6/14/2017,S. cinereus,M,A,D,9,2,60,7,Pitfall,6,95.7,39.6,10.9
2017-059,6/14/2017,S. cinereus,M,A,D,9,2,60,7,Pitfall,6.3,91.2,39.7,11
2017-060,6/14/2017,S. cinereus,F,A,D,9,2,60,7,Pitfall,6.4,89.4,38.6,11.8
2017-061,6/14/2017,S. cinereus,U,J,D,9,2,60,8,Victor,3.4,77.2,34.2,10.8
2017-062,6/14/2017,M. rutilus,M,A,L,9,2,60,8,Sherman,32,102,28,17
2017-063,6/14/2017,S. monticolus,U,J,D,9,2,60,8,Pitfall,3.3,81.4,38.8,10.7
2017-064,6/14/2017,S. cinereus,F,A,D,9,2,60,9,Sherman,8.9,94,35.2,10.9
2017-065,6/14/2017,S. cinereus,U,J,D,9,2,60,10,Victor,3.9,83.3,36.7,10.5
2017-066,6/14/2017,M. rutilus,F,A,L,9,2,60,10,Sherman,25,107,32,16
2017-067,6/14/2017,M. rutilus,F,A,D,9,2,180,1,Victor,36.1,122.6,36,15.7
2017-068,6/14/2017,S. cinereus,U,J,D,9,2,180,7,Victor,3.7,97.3,40.1,11.1
2017-069,6/14/2017,M. rutilus,F,J,L,9,2,180,8,Sherman,15,98,25,17
2017-070,6/14/2017,S. monticolus,U,U,D,9,2,180,9,Victor,5.5,105.1,45.5,11.6
2017-071,6/14/2017,S. cinereus,U,J,D,9,2,180,9,Pitfall,3.8,86.2,39.2,10.5
2017-072,6/14/2017,S.,U,J,D,9,2,180,9,Pitfall,4.2,91.2,41.1,10.2
2017-073,6/14/2017,M. rutilus,M,J,L,9,2,180,10,Sherman,29,106,34,16
2017-074,6/14/2017,S. monticolus,U,J,D,9,2,300,3,Victor,6.8,104.9,44.5,12.3
2017-075,6/14/2017,S. cinereus,U,J,D,9,2,300,3,Pitfall,3.4,85.6,40.1,10.4
2017-076,6/14/2017,S. cinereus,U,J,D,9,2,300,3,Sherman,3.3,79.4,37.4,10.5
2017-077,6/14/2017,S. cinereus,U,J,D,9,2,300,4,Victor,3.7,87.2,36,11.1
2017-078,6/14/2017,S. cinereus,U,J,D,9,2,300,6,Victor,3.4,90.9,38.7,10.4
2017-079,6/14/2017,M. rutilus,F,A,L,9,2,300,6,Sherman,19,103,29,17
2017-080,6/14/2017,S. cinereus,U,J,D,9,2,300,6,Pitfall,3.4,89.8,39.3,10.9
2017-081,6/14/2017,S. cinereus,U,J,D,9,2,300,8,Sherman,3.3,80.3,38.5,9.8
2017-082,6/14/2017,M. rutilus,M,A,D,9,2,300,9,Victor,15,100,22.1,15
2017-084,6/14/2017,M. rutilus,M,A,L,9,2,300,10,Sherman,24,114,34,17
2017-085,6/14/2017,S. cinereus,U,J,D,9,3,60,1,Pitfall,3.3,81.9,37.7,10.4
2017-086,6/14/2017,S.,U,J,D,9,3,60,1,Pitfall,3.3,92.1,40.6,11.7
2017-087,6/15/2017,M. rutilus,F,A,D,9,3,60,3,Sherman,33.1,115.1,28.5,14.7
2017-088,6/15/2017,M. rutilus,M,J,D,9,3,60,4,Victor,12.7,37.6,20.8,13.9
2017-089,6/15/2017,S. cinereus,U,J,D,9,3,60,4,Sherman,2.7,81.4,38.3,10.7
2017-090,6/15/2017,S. cinereus,F,A,D,9,3,60,5,Victor,5.3,94.2,37.9,10.6
2017-091,6/15/2017,M. rutilus,M,A,L,9,3,60,5,Sherman,32,120,29,17.5
2017-092,6/15/2017,S. cinereus,U,J,D,9,3,60,6,Victor,3.4,90.4,36.1,10.6
2017-093,6/15/2017,M. rutilus,M,J,L,9,3,60,6,Sherman,14,97,23,14.5
2017-095,6/15/2017,M. rutilus,M,A,L,9,3,60,7,Sherman,20,104,28,17
2017-096,6/15/2017,S. cinereus,U,J,D,9,3,60,7,Pitfall,3.9,81.7,37.1,10.9
2017-097,6/15/2017,S. cinereus,U,J,D,9,3,60,8,Victor,3.3,81.7,35.3,9.4
2017-098,6/15/2017,M. rutilus,F,J,D,9,3,60,8,Sherman,14.8,99.5,25.9,15.5
2017-099,6/15/2017,S. cinereus,U,J,D,9,3,60,8,Pitfall,3.6,88,38,10.4
2017-100,6/15/2017,M. rutilus,M,J,L,9,3,60,9,Sherman,11,84,22,15
2017-101,6/15/2017,S. cinereus,U,J,D,9,3,60,9,Pitfall,3.6,81.4,37.9,10.5
2017-102,6/15/2017,M. rutilus,F,A,L,9,3,60,10,Sherman,24,109,30,16
2017-103,6/15/2017,S. cinereus,U,U,D,9,3,180,3,Pitfall,4.9,90,35.8,11.3
2017-104,6/15/2017,S. cinereus,U,J,D,9,3,180,4,Pitfall,3.7,80.1,39,9.7
2017-105,6/15/2017,S. cinereus,U,J,D,9,3,180,5,Victor,3.5,89.3,38.7,10.7
2017-106,6/15/2017,M. rutilus,M,A,L,9,3,180,6,Sherman,28,119,30,17
2017-107,6/15/2017,S. cinereus,U,J,D,9,3,180,7,Pitfall,3.6,84.7,38,10.4
2017-108,6/15/2017,S. cinereus,U,J,D,9,3,180,9,Pitfall,5,89.4,36.4,9.6
2017-109,6/15/2017,S. cinereus,U,J,D,9,3,180,9,Pitfall,3.2,85.7,36.1,10.1
2017-110,6/15/2017,M. rutilus,M,SA,L,9,3,300,1,Sherman,26,115,17,32
2017-111,6/15/2017,M. rutilus,M,A,L,9,3,300,2,Sherman,24,106,30.5,17
2017-112,6/15/2017,S. cinereus,U,J,D,9,3,300,3,Pitfall,3.1,90.1,41.3,10.8
2017-113,6/15/2017,S. cinereus,U,J,D,9,3,300,4,Pitfall,3.4,84,40,11.3
2017-114,6/15/2017,S. cinereus,U,J,D,9,3,300,4,Pitfall,3.5,81.8,37,10.1
2017-115,6/15/2017,S. cinereus,U,J,D,9,3,300,4,Pitfall,3.3,82.9,36.8,9.4
2017-116,6/15/2017,M. rutilus,F,J,D,9,3,300,6,Victor,14.9,103.4,19.4,15.3
2017-117,6/15/2017,M. rutilus,F,J,D,9,3,300,9,Victor,14.4,105,23,15.2
2017-118,6/15/2017,M. rutilus,M,A,L,9,3,300,9,Sherman,26,120,30,16
2017-119,6/15/2017,M. rutilus,F,A,D,9,3,300,10,Victor,35.5,127.7,35.2,15.9
2017-120,6/15/2017,S. cinereus,F,A,D,9,3,300,4,Sherman,4.1,101.5,38.6,11.1
2017-121,6/20/2017,S. cinereus,U,J,D,22,1,60,2,Victor,3.8,90,40.7,10.7
2017-122,6/20/2017,S. cinereus,U,J,D,22,1,60,3,Sherman,3.9,88.5,40.2,11
2017-123,6/20/2017,S. cinereus,U,J,D,22,1,60,4,Victor,5.1,93.6,38.3,10.8
2017-124,6/20/2017,S. cinereus,U,J,D,22,1,60,5,Sherman,3.8,91.6,41.5,10.9
2017-125,6/20/2017,S. cinereus,U,J,D,22,1,60,7,Pitfall,3.9,92.4,40.3,11.2
2017-126,6/20/2017,S. monticolus,U,J,D,22,1,60,8,Victor,5.9,106.2,45,12
2017-127,6/20/2017,M. rutilus,M,SA,D,22,1,60,10,Victor,15.8,103.1,43.3,15
2017-128,6/20/2017,S. cinereus,U,J,D,22,1,180,1,Pitfall,4,87.3,41.6,10.6
2017-129,6/20/2017,S. cinereus,U,J,D,22,1,180,2,Victor,3.7,92.7,43.2,11
2017-130,6/20/2017,S. cinereus,U,J,D,22,1,180,2,Sherman,3.3,87,36.5,11
2017-131,6/20/2017,S. cinereus,U,J,D,22,1,180,4,Victor,3.6,88.4,41.2,11
2017-132,6/20/2017,S. cinereus,U,J,D,22,1,180,6,Victor,3.4,87.7,36.7,10.9
2017-133,6/20/2017,S. cinereus,U,J,D,22,1,180,7,Sherman,3.9,91.2,40.3,11.1
2017-135,6/20/2017,M. rutilus,M,A,D,22,1,180,10,Victor,18.5,105.1,25.2,17.7
2017-136,6/20/2017,S. cinereus,U,J,D,22,1,180,10,Sherman,2.9,86.6,42.1,11.6
2017-137,6/20/2017,S. cinereus,U,J,D,22,1,180,10,Pitfall,3.7,84.4,37.5,11.2
2017-138,6/20/2017,S. cinereus,U,J,D,22,1,300,4,Victor,3.8,97.2,41.6,10.9
2017-139,6/20/2017,S. cinereus,U,J,D,22,1,300,4,Pitfall,3.1,86.3,37.2,9.5
2017-140,6/20/2017,M. rutilus,M,A,D,22,1,300,5,Victor,23.4,109.2,25.9,15.8
2017-141,6/20/2017,S. cinereus,U,J,D,22,1,300,6,Victor,4,88.4,38.7,10
2017-142,6/20/2017,S. cinereus,U,J,D,22,1,300,6,Pitfall,4,90.6,39.2,11.6
2017-143,6/20/2017,S. cinereus,U,J,D,22,1,300,6,Pitfall,3.2,89.9,37.6,10.5
2017-144,6/20/2017,S. cinereus,U,J,D,22,1,300,8,Sherman,3.6,85.7,38.5,9.9
2017-145,6/20/2017,M. rutilus,F,A,L,22,1,300,10,Sherman,32,114,32,17
2017-146,6/21/2017,S. cinereus,U,J,D,22,2,60,1,Sherman,3,88.9,40.4,10.8
2017-147,6/21/2017,S. cinereus,U,J,D,22,2,60,2,Victor,3.4,86.1,37.4,11.1
2017-148,6/21/2017,M. rutilus,M,A,L,22,2,60,2,Sherman,16,87,28,16
2017-149,6/21/2017,S. cinereus,U,J,D,22,2,60,3,Sherman,3.8,88.5,42.2,10.3
2017-150,6/21/2017,M. rutilus,M,A,L,22,2,60,4,Sherman,19,98,28,17
2017-151,6/21/2017,S. cinereus,U,J,D,22,2,60,4,Pitfall,4.1,83.8,36,10.9
2017-152,6/21/2017,S. cinereus,U,J,D,22,2,60,4,Pitfall,4.3,87.8,41,11
2017-153,6/21/2017,S. cinereus,U,J,D,22,2,60,5,Sherman,3.7,88.6,41.2,11.3
2017-154,6/21/2017,S. cinereus,U,J,D,22,2,60,5,Pitfall,4.1,89.4,39,10.6
2017-155,6/21/2017,S. cinereus,F,A,D,22,2,60,7,Pitfall,6.2,91.4,36.5,9.7
2017-156,6/21/2017,S. cinereus,U,J,D,22,2,60,8,Pitfall,3.7,85.3,36.2,11.3
2017-157,6/21/2017,S. cinereus,U,J,D,22,2,60,9,Pitfall,4.2,92.8,39.7,10.7
2017-158,6/21/2017,S. cinereus,U,J,D,22,2,60,10,Victor,3.6,87.3,37.2,11.3
2017-159,6/21/2017,S. cinereus,U,J,D,22,2,60,10,Sherman,3,83.3,39.5,10.6
2017-160,6/21/2017,S. cinereus,U,A,D,22,2,180,1,Pitfall,6,94,38.7,11
2017-161,6/21/2017,S. cinereus,F,A,D,22,2,180,1,Pitfall,6.1,99.1,37.7,10.4
2017-162,6/21/2017,S. cinereus,U,J,D,22,2,180,3,Sherman,2.9,86.8,38.5,10.3
2017-163,6/21/2017,S. cinereus,U,J,D,22,2,180,3,Pitfall,3.5,85.9,37.8,9.9
2017-164,6/21/2017,M. rutilus,F,A,L,22,2,180,5,Sherman,27,117,32,17
2017-165,6/21/2017,S. cinereus,U,J,D,22,2,180,5,Pitfall,3.9,89.7,40.2,11.2
2017-166,6/21/2017,S. cinereus,U,J,D,22,2,180,6,Victor,3.6,89.6,37.5,10.2
2017-167,6/21/2017,S. cinereus,U,J,D,22,2,180,7,Pitfall,3.6,81.5,37.2,9.9
2017-168,6/21/2017,S. cinereus,U,J,D,22,2,180,9,Victor,3.7,93.9,40.9,11
2017-169,6/21/2017,S. cinereus,U,A,D,22,2,180,9,Pitfall,5.6,86.8,36.1,11.1
2017-170,6/21/2017,S. cinereus,U,J,D,22,2,180,9,Pitfall,5.7,97.6,34.5,10.5
2017-171,6/21/2017,S. cinereus,U,J,D,22,2,180,10,Victor,3.6,91,39.3,10.7
2017-172,6/21/2017,M. rutilus,F,A,D,22,2,300,4,Victor,21.5,110.3,23.7,17.3
2017-173,6/21/2017,S. cinereus,U,J,D,22,2,300,4,Pitfall,4.1,86.7,39,10.4
2017-174,6/21/2017,S. cinereus,U,J,D,22,2,300,5,Pitfall,3.7,90.4,38.4,10.5
2017-175,6/21/2017,S. cinereus,U,U,D,22,2,300,7,Pitfall,6.1,92.3,40.7,11.6
2017-176,6/21/2017,S. cinereus,U,J,D,22,2,300,7,Pitfall,4.2,96.8,41,11.3
2017-177,6/21/2017,S. cinereus,U,J,D,22,2,300,8,Sherman,3.7,90.3,39.7,10.8
2017-178,6/21/2017,S. cinereus,U,J,D,22,2,300,9,Pitfall,3.4,90.6,38.2,10.1
2017-179,6/22/2017,S. cinereus,U,J,D,22,3,60,1,Victor,3.8,91.1,37.5,12.3
2017-180,6/22/2017,S. cinereus,U,J,D,22,3,60,2,Victor,3.7,95.7,41.1,11.2
2017-181,6/22/2017,M. pennsalyvacius,M,SA,D,22,3,60,2,Sherman,16.5,117.9,36,17
2017-182,6/22/2017,M. rutilus,M,A,L,22,3,60,3,Sherman,17,93,28,17
2017-183,6/22/2017,S. cinereus,U,J,D,22,3,60,3,Pitfall,3.5,93.1,44.1,10.8
2017-184,6/22/2017,S. cinereus,U,J,D,22,3,60,4,Victor,3.5,91.3,38.9,10.6
2017-185,6/22/2017,M. rutilus,M,SA,L,22,3,60,4,Sherman,12,87,24,14
2017-186,6/22/2017,S. cinereus,F,A,D,22,3,60,6,Pitfall,6.7,94.2,37.7,10.7
2017-187,6/22/2017,S. cinereus,M,A,D,22,3,60,7,Victor,5.2,94.1,35.9,10.9
2017-188,6/22/2017,S. cinereus,U,J,D,22,3,60,8,Victor,3.5,92.6,39.6,10.1
2017-189,6/22/2017,S. cinereus,U,J,D,22,3,60,9,Victor,3.4,91.6,38.7,11.9
2017-190,6/22/2017,S. cinereus,U,J,D,22,3,60,10,Pitfall,4.3,88.2,41.6,10.5
2017-191,6/22/2017,S. cinereus,U,J,D,22,3,180,2,Sherman,3,84.7,32.6,10.2
2017-192,6/22/2017,S. cinereus,U,J,D,22,3,180,2,Pitfall,4.3,87.5,37.4,10.9
2017-193,6/22/2017,S. cinereus,U,J,D,22,3,180,3,Pitfall,5.5,90.2,37.8,10.3
2017-194,6/22/2017,S. cinereus,U,J,D,22,3,180,4,Victor,3.5,86.5,40.3,10
2017-195,6/22/2017,M. rutilus,M,A,L,22,3,180,5,Sherman,25,121,32,16
2017-196,6/22/2017,M. rutilus,F,A,L,22,3,180,8,Sherman,20,95,34,17
2017-197,6/22/2017,S. cinereus,U,J,D,22,3,180,9,Victor,6.8,92.8,37.4,10.6
2017-198,6/22/2017,S. cinereus,M,A,D,22,3,180,10,Victor,5.1,101.2,41,11
2017-199,6/22/2017,S. cinereus,M,A,D,22,3,300,4,Victor,5.1,96,38.5,11.1
2017-200,6/22/2017,S. cinereus,U,J,D,22,3,300,4,Pitfall,4,85.2,39.6,11
2017-201,6/22/2017,S. cinereus,U,J,D,22,3,300,4,Pitfall,4,82.6,39.1,11.4
2017-202,6/22/2017,S. cinereus,M,A,D,22,3,300,4,Pitfall,6,90.7,38.2,12.1
2017-203,6/22/2017,S. cinereus,U,J,D,22,3,300,5,Victor,3.9,89.8,39.6,10.9
2017-204,6/22/2017,S. cinereus,U,J,D,22,3,300,5,Pitfall,4,83.2,35.7,9.7
2017-205,6/22/2017,S.,U,U,D,22,3,300,5,Pitfall,4.2,86.8,41.1,10.5
2017-206,6/22/2017,S. cinereus,U,J,D,22,3,300,6,Pitfall,3.8,85.7,38.8,11
2017-207,6/22/2017,S. cinereus,U,J,D,22,3,300,6,Pitfall,4,87.3,43.7,10.3
2017-208,6/22/2017,S. cinereus,U,J,D,22,3,180,8,Pitfall,3.5,83.7,35.7,10.3
2017-209,6/22/2017,S. cinereus,U,J,D,22,3,300,8,Sherman,3,88.9,40.3,10.7
2017-210,6/22/2017,S. cinereus,U,J,D,22,3,300,10,Victor,3.9,91.8,40.6,10.3
2017-211,6/20/2017,S. cinereus,U,J,D,31,1,60,1,Victor,3.8,85.9,36.7,10.3
2017-212,6/20/2017,S. cinereus,U,J,D,31,1,60,1,Pitfall,3.5,88,40.3,10.6
2017-213,6/20/2017,S. monticolus,F,A,D,31,1,60,2,Sherman,9.1,116.8,50.5,12.2
2017-214,6/20/2017,M. rutilus,M,J,L,31,1,60,3,Sherman,16,101,25,16
2017-215,6/20/2017,S. cinereus,U,J,D,31,1,180,1,Victor,3.6,86.8,36.5,10.6
2017-216,6/20/2017,M. rutilus,F,A,L,31,1,180,1,Sherman,25,96,30,17
2017-217,6/20/2017,S. cinereus,U,J,D,31,1,180,1,Pitfall,3.3,86.6,36.4,10.3
2017-218,6/20/2017,S. cinereus,U,J,D,31,1,180,2,Victor,3.7,88,41,10.9
2017-219,6/20/2017,M. rutilus,F,J,D,31,1,180,2,Pitfall,12.2,89,23.4,15
2017-220,6/20/2017,S. cinereus,U,J,D,31,1,180,3,Victor,3.5,82,38.6,10.8
2017-221,6/20/2017,S. cinereus,U,J,D,31,1,180,3,Pitfall,4.1,83.3,38.7,10.8
